Βοιωτία-Λειβαδιά - ΚΑΤΣΑΛΙΓΚΟΥ ΕΥΣΤΑΘΙΑ,Τηλ. 2261027133 (GMap),22.87381,38.43972,32100,Λειβαδιά,Χαιρώνειας,14
Δωδεκάνησα-Ρόδος - ΤΑΤΑΚΗΣ ΕΥΑΓΓ. & ΥΙΟΙ ΑΕ,Τηλ. 2241025342 (GMap),28.22362,36.45064,85100,Ρόδος,Ρόδος,
Έβρος-Αλεξανδρούπολη - ΒΙΡΓΙΝΙΑ ΑΝΑΓΝΩΣΤΟΠΟΥΛΟΥ,Τηλ. 2551026306 (GMap),25.82388,40.85289,68100,Αλεξανδρούπολη,Δημοκρατίας,92
Ηλείας-Πύργος - ΑΝΤΩΝΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ ΛΕΩΝ.,Τηλ. 2621028958 (GMap),21.43322,37.67406,27100,Πύργος,Παπαφλέσσα,56
Ηράκλειο - E-MUSSES.GR,Τηλ. 2810289194 - Φαξ 2810289194 (GMap),25.13379,35.33753,71201,Ηράκλειο,Έβανς,28
Θεσσαλονίκη - ΚΑΡΑΚΕΧΑΓΙΟΓΛΟΥ ΑΓΑΠΙΟΣ - ΚΑΒΑ ΑΠΟΣΤΑΓΜΑ,Τηλ. 2310828348 - Φαξ 2310828348   - Κιν. 6972825803 (GMap),22.96213,40.60351,54248,Θεσσαλονίκη,Καρακάση,29
Θεσσαλονίκη-Αμπελόκηποι - ΣΑΓΚΙΡΙΔΗΣ Β. ΒΛΑΔΙΜΗΡΟΣ,Τηλ. 2310721087 (GMap),22.92548,40.65211,56123,Αμπελόκηποι,Θησέως,9
Θεσσαλονίκη-Πεύκα - ΜΠΑΤΖΑΚΑΣ ΚΑΒΕ ΟΙΝΟΠΟΙΗΜΑΤΑ,Τηλ. 2310676144 (GMap),22.99409,40.65353,57010,Πεύκα,Τρίτη Γεωργιου Παπανικολάου,136
Θεσσαλονίκη-Πολίχνη - ΤΟ ΜΑΓΑΖΑΚΙ - ΚΙΣΚΟΡΙΔΗΣ ΝΙΚΟΛΑΟΣ,Τηλ. 2310667797   - Κιν. 6970342619 (GMap),22.94489,40.66073,56533,Πολίχνη,Ελευθερίου Βενιζέλου,24
Θεσσαλονίκη-Σταυρούπολις - Κ. ΣΤΥΛΙΑΝΙΔΗΣ & ΣΙΑ ΟΕ - ΚΑΒΑ ΠΟΤΩΝ,Τηλ. 2310662041 (GMap),22.93974,40.66422,56429,Σταυρούπολις,Γρηγορίου Λαμπράκη,21
